=== Job started on Wed 29 Apr 23:29:16 WEST 2026 ===
Running on node(s): cnx027
Python executable: /projects/F202508983CPCAA0/jcorreia/work/react_selection_x86/bin/python
Python 3.12.3
sys.path ok, site: 
Embedder: smarts_transformer
FP output : data/processed/template_fingerprints_smarts_256.npy
Meta output: data/processed/template_metadata.parquet
23:29:50  INFO     === Template fingerprint pre-computation ===
23:29:50  INFO     Templates : /projects/F202508983CPCAA0/jcorreia/work/reaction_selection_pipeline/data/processed/retrorules-merged.csv
23:29:50  INFO     embedder=smarts_transformer
23:29:53  INFO     Loaded 361751 templates from /projects/F202508983CPCAA0/jcorreia/work/reaction_selection_pipeline/data/processed/retrorules-merged.csv
23:29:53  INFO     Loading SMARTS transformer from /projects/F202508983CPCAA0/jcorreia/work/reaction_selection_pipeline/models/smarts_embedder
23:30:49  INFO     SMARTS transformer loaded  dim=256
01:10:15  INFO     Embedded 73000 / 361751  (20.2%)  ETA 23599s
01:11:19  INFO     Embedded 74000 / 361751  (20.5%)  ETA 23447s
01:12:50  INFO     Embedded 75000 / 361751  (20.7%)  ETA 23402s
01:13:54  INFO     Embedded 76000 / 361751  (21.0%)  ETA 23256s
01:14:56  INFO     Embedded 77000 / 361751  (21.3%)  ETA 23103s
01:16:01  INFO     Embedded 78000 / 361751  (21.6%)  ETA 22963s
01:17:13  INFO     Embedded 79000 / 361751  (21.8%)  ETA 22849s
01:19:13  INFO     Embedded 80000 / 361751  (22.1%)  ETA 22907s
01:20:56  INFO     Embedded 81000 / 361751  (22.4%)  ETA 22902s
01:22:29  INFO     Embedded 82000 / 361751  (22.7%)  ETA 22860s
01:23:16  INFO     Embedded 83000 / 361751  (22.9%)  ETA 22660s
01:24:31  INFO     Embedded 84000 / 361751  (23.2%)  ETA 22557s
01:25:36  INFO     Embedded 85000 / 361751  (23.5%)  ETA 22423s
01:26:58  INFO     Embedded 86000 / 361751  (23.8%)  ETA 22347s
01:28:05  INFO     Embedded 87000 / 361751  (24.0%)  ETA 22221s
01:29:15  INFO     Embedded 88000 / 361751  (24.3%)  ETA 22107s
